file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/stat/descriptive/SynchronizedDescriptiveStatistics.java,org.apache.commons.math4.legacy.stat.descriptive.SynchronizedDescriptiveStatistics,class,4,5,1,4,16,2,0,14,120,0.0,0.0,0.0,16,1,16,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,3,58,9,0,0,0,0,0,0,1,0,1,2,0,0,0,118,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/genetics/RandomKey.java,org.apache.commons.math4.legacy.genetics.RandomKey,class,10,12,2,10,28,3,0,28,58,0.7916666,0.08888889,0.13333334,12,6,8,2,2,0,10,0,2,0,2,0,0,2,0,0,2,0,12,104,12,7,5,0,1,1,11,25,2,24,2,0,0,0,188,1025,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/integration/gauss/GaussIntegratorFactory.java,org.apache.commons.math4.legacy.analysis.integration.gauss.GaussIntegratorFactory,class,10,12,2,10,9,1,0,5,24,0.8125,0.13333334,0.13333334,8,2,6,2,0,0,6,0,0,0,4,0,0,4,0,0,4,0,8,38,8,1,0,0,1,0,2,11,5,9,1,0,0,0,95,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/function/Add.java,org.apache.commons.math4.legacy.analysis.function.Add,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/integration/IterativeLegendreGaussIntegrator.java,org.apache.commons.math4.legacy.analysis.integration.IterativeLegendreGaussIntegrator,class,6,7,1,6,10,2,0,14,4,0.6,0.16666667,0.16666667,5,0,3,1,1,0,4,0,0,0,2,1,0,2,0,0,2,0,0,52,2,2,0,0,3,0,10,20,13,17,2,1,0,0,140,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/function/Power.java,org.apache.commons.math4.legacy.analysis.function.Power,class,2,2,0,2,3,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/GradientMultivariateOptimizer.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.GradientMultivariateOptimizer,class,7,8,1,7,6,4,1,4,4,0.5,0.16666667,0.16666667,4,0,1,0,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,21,2,1,0,0,1,0,0,1,0,1,2,0,0,0,72,1025,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/fitting/leastsquares/LeastSquaresOptimizer.java,org.apache.commons.math4.legacy.fitting.leastsquares.LeastSquaresOptimizer,interface,3,6,3,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/stat/regression/RegressionResults.java,org.apache.commons.math4.legacy.stat.regression.RegressionResults,class,3,7,4,3,46,1,0,5,14,0.8099547,0.41904762,1.0,17,0,15,2,0,0,15,0,0,0,13,6,0,13,0,0,13,0,6,166,27,2,7,0,12,2,37,36,31,18,3,0,0,0,265,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/nonstiff/GraggBulirschStoerStepInterpolator.java,org.apache.commons.math4.legacy.ode.nonstiff.GraggBulirschStoerStepInterpolator,class,5,7,2,5,39,2,0,10,0,0.5875,0.6111111,0.7777778,10,0,5,1,2,2,9,0,0,0,8,1,0,8,0,0,1,0,3,191,3,14,6,0,28,0,99,99,100,59,5,0,0,0,253,0,0
